neighborhood,permits issued
Rainier Valley,84
Northeast Seattle,75
Southwest,71
Squire Park,60
Capitol Hill,57
Greater Duwamish,57
Old Ballard,56
West Seattle,45
Fremont,40
Eastlake,32
Central District,31
Stevens,28
Wallingford,25
Queen Anne,24
Magnolia,20
Lower Queen Anne,20
Mann,19
North Queen Anne,17
Roosevelt,16
Belltown,15
North Delridge,15
Northgate,15
West Woodland,14
Brighton,14
Downtown,14
South Lake Union,14
Greenwood,13
Crown Hill,11
Green Lake,11
East Queen Anne,10
Haller Lake,8
Westlake,8
Phinney Ridge,7
North Seattle,6
Whittier Heights,6
Dunlap,6
Bitter Lake,6
Loyal Heights,5
Georgetown,5
Minor,4
Seattle,4
Southeast Magnolia,4
Ravenna,3
Lake City,3
Madison Park,3
Bryant,3
South Cloverdale Street,2
Northwest Seattle,2
South Park,2
Wedgwood,2
Pike Place Market,2
Sand Point,2
Pioneer Square,1
North Beach/ Blue Ridge,1
Interbay,1
Rainier Beach,1
Hawthorne Hills,1
Ballard,1
Pinehurst,1
East John Street,1
Pike Pine Retail Core,1
Pike/Pine,1
