date,English Wikipedia,Spanish Wikipedia,German Wikipedia
2016040300,56501,1775,18417
2016040400,387524,18950,71111
2016040500,387020,21959,80447
2016040600,299349,23696,39460
2016040700,241823,25079,27162
2016040800,200535,31568,22346
2016040900,146780,24011,15858
2016041000,125429,23795,14741
2016041100,110092,24581,13401
2016041200,83249,23671,7370
2016041300,68490,19764,6642
2016041400,55560,18056,5478
2016041500,49215,15917,5115
2016041600,32578,9911,3027
2016041700,33981,8761,3141
2016041800,41435,10490,3549
2016041900,36375,8719,2713
2016042000,28910,7928,2143
2016042100,25435,8552,1750
2016042200,21136,5400,1437
2016042300,18509,3562,1497
2016042400,17488,4131,1378
2016042500,19414,5141,1496
2016042600,17162,4913,1541
2016042700,18831,4515,1443
2016042800,18850,4203,1008
2016042900,13645,2979,826
2016043000,12650,1793,605
2016050100,15627,1774,797
2016050200,14188,2510,960
