date,edits,views
20160502,109,14188
20160501,112,15627
20160430,106,12650
20160429,14,13645
20160428,29,18850
20160427,51,18831
20160426,98,17162
20160425,124,19414
20160424,119,17488
20160423,51,18509
20160422,64,21136
20160421,72,25435
20160420,119,28910
20160419,54,36375
20160418,107,41435
20160417,56,33981
20160416,22,32578
20160415,26,49215
20160414,23,55560
20160413,15,68490
20160412,12,83249
20160411,50,110092
20160410,94,125429
20160409,132,146780
20160408,186,200535
20160407,228,241823
20160406,444,299349
20160405,409,387020
20160404,442,387524
20160403,278,56501
